,Rating
0,A
1,BBB
2,BBB
3,BBB
4,BBB
5,AA
6,AA
7,A
8,AA
9,A
10,AA
11,A
12,A
13,BBB
14,A
15,A
16,A
17,A
18,A
19,A
20,A
21,A
22,BBB
23,A
24,A
25,AA
26,AA
27,A
28,BBB
29,BBB
30,AA
31,AA
32,A
33,A
34,BB
35,BB
36,BB
37,BB
38,A
39,BBB
40,AA
41,BBB
42,A
43,AA
44,A
45,B
46,B
47,B
48,CCC
49,A
50,BBB
51,A
52,BB
53,BB
54,BB
55,BBB
56,BBB
57,B
58,B
59,BBB
60,BB
61,B
62,BBB
63,BBB
64,BBB
65,BB
66,BBB
67,BBB
68,AA
69,AA
70,AA
71,BBB
72,A
73,BBB
74,BBB
75,BBB
76,A
77,A
78,A
79,A
80,A
81,A
82,A
83,AA
84,AA
85,A
86,A
87,BBB
88,BBB
89,BBB
90,BBB
91,BBB
92,BBB
93,BBB
94,BB
95,B
96,B
97,BBB
98,BBB
99,BB
100,BBB
101,BBB
102,A
103,A
104,A
105,BBB
106,BBB
107,BBB
108,A
109,BB
110,BB
111,D
112,BB
113,BB
114,BB
115,BB
116,BB
117,BBB
118,A
119,A
120,A
121,BBB
122,BB
123,BBB
124,BBB
125,BBB
126,BBB
127,BBB
128,BBB
129,A
130,BBB
131,A
132,BBB
133,BBB
134,BBB
135,A
136,A
137,A
138,BBB
139,AA
140,AA
141,AA
142,A
143,A
144,BBB
145,A
146,BBB
147,BBB
148,A
149,BBB
150,BBB
151,AA
152,A
153,A
154,A
155,BB
156,BBB
157,BBB
158,BBB
159,BB
160,BBB
161,BBB
162,BBB
163,BBB
164,A
165,BB
166,BB
167,B
168,B
169,A
170,A
171,A
172,A
173,A
174,A
175,A
176,A
177,AA
178,AA
179,A
180,A
181,BBB
182,A
183,BBB
184,CC
185,CCC
186,BB
187,B
188,B
189,BB
190,BB
191,B
192,BBB
193,BB
194,BBB
195,BBB
196,BBB
197,A
198,A
199,A
200,BBB
201,AA
202,BBB
203,AA
204,A
205,A
206,BB
207,BB
208,BB
209,B
210,B
211,A
212,A
213,A
214,A
215,BBB
216,BBB
217,A
218,BB
219,AA
220,A
221,AA
222,A
223,BBB
224,BBB
225,BBB
226,BBB
227,BBB
228,BBB
229,BBB
230,A
231,A
232,A
233,A
234,BBB
235,AAA
236,AAA
237,AAA
238,AAA
239,AAA
240,BB
241,BBB
242,BBB
243,BB
244,BB
245,BB
246,BB
247,BB
248,BB
249,A
250,BBB
251,BBB
252,BBB
253,BBB
254,BB
255,A
256,A
257,A
258,BBB
259,BBB
260,B
261,B
262,B
263,BB
264,BB
265,BB
266,B
267,BBB
268,A
269,A
270,A
271,BBB
272,A
273,BBB
274,BBB
275,BBB
276,BBB
277,BB
278,BBB
279,BBB
280,B
281,B
282,A
283,A
284,A
285,A
286,A
287,A
288,BBB
289,A
290,BBB
291,BBB
292,BBB
293,A
294,A
295,BBB
296,A
297,AA
298,A
299,A
300,A
301,A
302,BBB
303,BBB
304,CCC
305,BB
306,BB
307,BBB
308,BB
309,BB
310,BBB
311,BBB
312,A
313,A
314,A
315,A
316,A
317,A
318,A
319,BBB
320,A
321,A
322,A
323,BBB
324,A
325,A
326,A
327,A
328,BBB
329,BB
330,BBB
331,AA
332,A
333,AA
334,BBB
335,BBB
336,BBB
337,BBB
338,B
339,BBB
340,BBB
341,B
342,BB
343,BB
344,BB
345,BBB
346,BB
347,BBB
348,BBB
349,BB
350,BB
351,BB
352,BBB
353,BB
354,BBB
355,A
356,BBB
357,A
358,BBB
359,BBB
360,A
361,BBB
362,BBB
363,BBB
364,A
365,BBB
366,BBB
367,BB
368,BBB
369,BBB
370,BBB
371,A
372,A
373,A
374,A
375,A
376,A
377,A
378,A
379,A
380,A
381,BBB
382,B
383,BBB
384,BBB
385,B
386,B
387,BB
388,AA
389,AA
390,AA
391,AA
392,BB
393,BBB
394,BBB
395,BBB
396,BBB
397,BBB
398,BB
399,BBB
400,BBB
401,BBB
402,B
403,A
404,A
405,A
406,A
407,BB
408,BB
409,BB
410,BBB
411,BBB
412,BB
413,BBB
414,A
415,A
416,A
417,BBB
418,BBB
419,BBB
420,BBB
421,BBB
422,BBB
423,BBB
424,BBB
425,A
426,A
427,A
428,A
429,AA
430,A
431,A
432,A
433,A
434,A
435,BBB
436,A
437,BBB
438,BBB
439,A
440,A
441,BBB
442,A
443,A
444,BBB
445,BBB
446,BBB
447,BBB
448,BBB
449,BBB
450,A
451,A
452,BBB
453,BBB
454,A
455,A
456,A
457,BBB
458,BBB
459,BBB
460,BB
461,BBB
462,BBB
463,BBB
464,BBB
465,BBB
466,A
467,A
468,A
469,A
470,A
471,BBB
472,BB
473,B
474,BB
475,BB
476,B
477,B
478,B
479,CCC
480,CCC
481,B
482,A
483,A
484,A
485,A
486,BB
487,BB
488,BBB
489,BB
490,BBB
491,B
492,CCC
493,B
494,CCC
495,BB
496,CCC
497,CCC
498,BB
499,BB
500,B
501,B
502,BB
503,BBB
504,BBB
505,BBB
506,B
507,BB
508,B
509,BB
510,A
511,A
512,BBB
513,AA
514,AA
515,AA
516,BB
517,BB
518,BB
519,BB
520,BB
521,AA
522,A
523,AA
524,A
525,A
526,BBB
527,A
528,BBB
529,BBB
530,BBB
531,BBB
532,BBB
533,BBB
534,BBB
535,BBB
536,BBB
537,AA
538,AAA
539,BBB
540,BBB
541,BBB
542,BBB
543,BBB
544,A
545,A
546,A
547,A
548,A
549,BBB
550,A
551,BBB
552,BBB
553,A
554,A
555,AAA
556,BBB
557,AA
558,BBB
559,AA
560,A
561,BBB
562,BBB
563,BBB
564,BBB
565,BB
566,BBB
567,A
568,A
569,A
570,A
571,BB
572,B
573,CCC
574,B
575,B
576,BB
577,BB
578,AA
579,AA
580,AA
581,A
582,AA
583,BBB
584,AA
585,A
586,A
587,BBB
588,A
589,A
590,BBB
591,BBB
592,BBB
593,BB
594,B
595,BB
596,BB
597,BB
598,B
599,BB
600,BB
601,B
602,A
603,A
604,BBB
605,BBB
606,BBB
607,B
608,B
609,B
610,BB
611,BBB
612,BBB
613,BBB
614,BBB
615,BBB
616,BBB
617,BBB
618,BBB
619,BBB
620,B
621,B
622,BB
623,BB
624,B
625,BB
626,A
627,BBB
628,BB
629,BB
630,BBB
631,BBB
632,BBB
633,BBB
634,B
635,BBB
636,BBB
637,BB
638,BBB
639,A
640,A
641,A
642,BB
643,C
644,CCC
645,BBB
646,BBB
647,BBB
648,BBB
649,BBB
650,BBB
651,BBB
652,A
653,A
654,A
655,BBB
656,BBB
657,CCC
658,BB
659,CCC
660,BB
661,B
662,B
663,BBB
664,BBB
665,A
666,BBB
667,BBB
668,BBB
669,BBB
670,BBB
671,BBB
672,BB
673,BB
674,BB
675,BBB
676,A
677,BBB
678,BBB
679,AA
680,AA
681,AA
682,AA
683,BB
684,BB
685,BB
686,BB
687,BB
688,BB
689,BB
690,BB
691,BB
692,BB
693,BB
694,BB
695,BB
696,BB
697,BB
698,BBB
699,B
700,BB
701,BB
702,BB
703,BB
704,BB
705,B
706,BB
707,B
708,B
709,B
710,B
711,BBB
712,BB
713,BB
714,A
715,A
716,A
717,A
718,A
719,BBB
720,BBB
721,BBB
722,A
723,BB
724,BBB
725,BBB
726,BBB
727,BBB
728,BBB
729,BB
730,BB
731,BBB
732,BB
733,CCC
734,AA
735,A
736,A
737,AA
738,A
739,A
740,B
741,B
742,BBB
743,BBB
744,A
745,BBB
746,BBB
747,A
748,A
749,A
750,A
751,A
752,A
753,A
754,BBB
755,A
756,A
757,BBB
758,BBB
759,BBB
760,BBB
761,BBB
762,BBB
763,BBB
764,BBB
765,BBB
766,BBB
767,BBB
768,A
769,BBB
770,A
771,A
772,A
773,A
774,BBB
775,A
776,BBB
777,BBB
778,BBB
779,A
780,BBB
781,BB
782,BBB
783,BBB
784,BB
785,BB
786,BB
787,BB
788,BBB
789,BBB
790,BBB
791,CCC
792,CCC
793,CCC
794,BBB
795,BBB
796,BBB
797,BBB
798,BB
799,CCC
800,B
801,B
802,B
803,BBB
804,BBB
805,BBB
806,BBB
807,BBB
808,BBB
809,BBB
810,BBB
811,BBB
812,BBB
813,BBB
814,BBB
815,AA
816,BBB
817,AA
818,BBB
819,A
820,BBB
821,BBB
822,A
823,A
824,BBB
825,BBB
826,A
827,BB
828,BB
829,B
830,B
831,CC
832,B
833,B
834,B
835,B
836,B
837,B
838,B
839,B
840,A
841,BBB
842,BBB
843,A
844,BBB
845,A
846,A
847,A
848,A
849,BB
850,BB
851,BB
852,BB
853,BBB
854,A
855,A
856,BB
857,BBB
858,A
859,A
860,A
861,A
862,A
863,A
864,A
865,A
866,A
867,A
868,BBB
869,BBB
870,BBB
871,BBB
872,BBB
873,BB
874,BBB
875,BBB
876,BBB
877,BBB
878,BBB
879,BBB
880,BBB
881,BBB
882,A
883,A
884,BBB
885,BBB
886,BBB
887,A
888,A
889,A
890,A
891,B
892,CC
893,B
894,A
895,A
896,BBB
897,BBB
898,BBB
899,A
900,BBB
901,BBB
902,BB
903,BB
904,BBB
905,BB
906,BB
907,BB
908,BB
909,BB
910,BB
911,BB
912,A
913,A
914,A
915,A
916,A
917,A
918,A
919,BBB
920,BBB
921,BB
922,BB
923,BBB
924,BB
925,BBB
926,BBB
927,BBB
928,BBB
929,BB
930,B
931,B
932,B
933,B
934,BBB
935,BBB
936,BBB
937,B
938,B
939,B
940,B
941,BB
942,BB
943,BB
944,BB
945,BB
946,BB
947,BBB
948,BB
949,BB
950,BB
951,B
952,A
953,A
954,A
955,CCC
956,BB
957,BB
958,BB
959,BB
960,BB
961,BB
962,BB
963,BB
964,BB
965,BB
966,BB
967,AA
968,A
969,AA
970,AA
971,AA
972,AA
973,BB
974,BB
975,BBB
976,BBB
977,AA
978,AA
979,BB
980,B
981,B
982,BB
983,B
984,BB
985,BB
986,BB
987,B
988,BB
989,BB
990,B
991,BBB
992,BBB
993,BBB
994,BBB
995,BBB
996,B
997,B
998,B
999,B
1000,BBB
1001,BBB
1002,BBB
1003,BB
1004,BB
1005,BB
1006,BB
1007,BB
1008,BBB
1009,BBB
1010,B
1011,BB
1012,B
1013,A
1014,A
1015,A
1016,BBB
1017,BBB
1018,BB
1019,B
1020,BB
1021,BB
1022,B
1023,BB
1024,A
1025,A
1026,A
1027,A
1028,A
1029,A
1030,BBB
1031,BBB
1032,BB
1033,A
1034,A
1035,A
1036,A
1037,A
1038,B
1039,A
1040,A
1041,A
1042,B
1043,B
1044,CCC
1045,B
1046,B
1047,BBB
1048,BBB
1049,BB
1050,BB
1051,BB
1052,BBB
1053,A
1054,BBB
1055,A
1056,BBB
1057,BBB
1058,BB
1059,BBB
1060,BBB
1061,BBB
1062,BBB
1063,B
1064,BBB
1065,BB
1066,BBB
1067,BB
1068,BBB
1069,BB
1070,BBB
1071,BB
1072,BBB
1073,BBB
1074,BB
1075,BB
1076,BBB
1077,BBB
1078,BBB
1079,BBB
1080,BB
1081,BBB
1082,BBB
1083,BB
1084,BB
1085,BB
1086,BB
1087,A
1088,BBB
1089,BBB
1090,A
1091,BBB
1092,A
1093,BB
1094,B
1095,B
1096,CCC
1097,BBB
1098,BBB
1099,BBB
1100,BBB
1101,BBB
1102,A
1103,A
1104,A
1105,BBB
1106,A
1107,A
1108,BBB
1109,A
1110,A
1111,AA
1112,A
1113,BBB
1114,B
1115,BB
1116,B
1117,B
1118,B
1119,B
1120,BB
1121,BB
1122,BB
1123,BB
1124,BBB
1125,BBB
1126,BBB
1127,BB
1128,BB
1129,BBB
1130,BBB
1131,B
1132,BB
1133,B
1134,B
1135,B
1136,A
1137,A
1138,A
1139,A
1140,A
1141,A
1142,BBB
1143,BBB
1144,BBB
1145,BBB
1146,BBB
1147,B
1148,BB
1149,BB
1150,A
1151,A
1152,A
1153,A
1154,A
1155,A
1156,BB
1157,BB
1158,BB
1159,BB
1160,CCC
1161,CCC
1162,CCC
1163,B
1164,CCC
1165,CCC
1166,A
1167,A
1168,A
1169,A
1170,A
1171,B
1172,B
1173,BBB
1174,BBB
1175,BBB
1176,A
1177,BBB
1178,BBB
1179,BBB
1180,BBB
1181,BBB
1182,BBB
1183,BBB
1184,B
1185,B
1186,B
1187,B
1188,B
1189,BB
1190,BB
1191,BB
1192,BBB
1193,BB
1194,BB
1195,BB
1196,A
1197,BBB
1198,AA
1199,AA
1200,BBB
1201,B
1202,B
1203,B
1204,B
1205,BB
1206,BBB
1207,B
1208,BB
1209,A
1210,BBB
1211,A
1212,A
1213,A
1214,BBB
1215,BBB
1216,BBB
1217,BBB
1218,BBB
1219,BBB
1220,BB
1221,BB
1222,BBB
1223,BBB
1224,BBB
1225,BBB
1226,BBB
1227,BB
1228,BB
1229,BB
1230,A
1231,BBB
1232,A
1233,BBB
1234,BBB
1235,BBB
1236,BBB
1237,A
1238,A
1239,B
1240,B
1241,B
1242,B
1243,BB
1244,B
1245,BB
1246,BB
1247,B
1248,CCC
1249,B
1250,B
1251,BBB
1252,BBB
1253,A
1254,A
1255,A
1256,A
1257,BBB
1258,BBB
1259,BBB
1260,BB
1261,BB
1262,BB
1263,B
1264,BB
1265,CCC
1266,CCC
1267,BB
1268,B
1269,BBB
1270,A
1271,BBB
1272,A
1273,BB
1274,BB
1275,BB
1276,BBB
1277,BBB
1278,BBB
1279,A
1280,BBB
1281,A
